State  (L1 Districts of Nepal),Post Codes,City (L2 Muncipalities of Nepal),Address (L3 Area/Landmark),Delivery service,Routing Hub2,COD,Service Level Ex KTM,Service Remarks,Addtional Cost Ex KTM per KG
Achham,10700,Mangalsen,District Administration,YES,Kathmandu,YES,,Third Party,300
Achham,10700,Mangalsen,Bairaagidhara,YES,Kathmandu,YES,,Third Party,300
Achham,10700,Mangalsen,Buspark,YES,Kathmandu,YES,,Third Party,300
Achham,10700,Mangalsen,District Education Office,YES,Kathmandu,YES,,Third Party,300
Achham,10700,Mangalsen,District Hospital Area,YES,Kathmandu,YES,,Third Party,300
Achham,10700,Mangalsen,Mangalsen Bazzar,YES,Kathmandu,YES,,Third Party,300
Achham,10708,Kamalbazar,Bazar Area,YES,Kathmandu,YES,,Third Party,300
Achham,10709,Sanphebagar,Thati Bazar,YES,Kathmandu,YES,,Third Party,300
Achham,10709,Sanphebagar,Kalimati,YES,Kathmandu,YES,,Third Party,300
Achham,10709,Sanphebagar,Bagbhidi,YES,Kathmandu,YES,,Third Party,300
Achham,10709,Sanphebagar,Jhakale,YES,Kathmandu,YES,,Third Party,300
Achham,10709,Sanphebagar,Bayalpata Hospital,YES,Kathmandu,YES,,Third Party,300
Achham,10709,Sanphebagar,Airport Area,YES,Kathmandu,YES,,Third Party,300
Achham,10709,Sanphebagar,Janakalyan Area,YES,Kathmandu,YES,,Third Party,300
Arghakhanchi,32700,Sandhikharka,Chutrabesi Area,YES,Butwal,,3,,
Arghakhanchi,32701,Sandhikharka,Asurkor Area,YES,Butwal,,3,,
Arghakhanchi,32701,Sandhikharka,Khilji Area,YES,Butwal,,3,,
Arghakhanchi,32701,Sandhikharka,Nuwakot Area,YES,Butwal,,3,,
Baglung,33300,Baglung,Bagechaur,YES,Baglung ,,2,,
Baglung,33300,Baglung,Baglung Bazar,YES,Baglung ,,2,,
Baglung,33300,Baglung,Baglung Buspark,YES,Baglung ,,2,,
Baglung,33300,Baglung,Campus Chowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Deuralichowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Dhaulagiri Chowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Goldenget,YES,Baglung ,,2,,
Baglung,33300,Baglung,Guthi,YES,Baglung ,,2,,
Baglung,33300,Baglung,Hallenchowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Jeep Park,YES,Baglung ,,2,,
Baglung,33300,Baglung,Kudule,YES,Baglung ,,2,,
Baglung,33300,Baglung,Laliguras Chowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Maldhunga,YES,Baglung ,,2,,
Baglung,33300,Baglung,Pansioncamp Road,YES,Baglung ,,2,,
Baglung,33300,Baglung,Purano Buspark,YES,Baglung ,,2,,
Baglung,33300,Baglung,Ramrekha Chowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Shivadhara Chowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Sirinagartol,YES,Baglung ,,2,,
Baglung,33300,Baglung,Tiger Chowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Traffic Chowk,YES,Baglung ,,2,,
Baglung,33300,Baglung,Upallachaur,YES,Baglung ,,3,,
Baitadi,10200,Dasharathchand,Gothalapani Bazar,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Buspark Area,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Gadi,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Shahilek,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Nahar,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Tripura Sundar,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Binash Gaau,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Babet,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Kathpatey,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Deheymandu,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Debalhat,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Delleh,YES,Kathmandu,YES,,Third Party,300
Baitadi,10200,Dasharathchand,Saparali,YES,Kathmandu,YES,,Third Party,300
Bajhang,10500,Chainpur,Chainpur Bazar Area,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Martadi,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Gairi Bazar,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Loktantrik Chowk,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Tufan Danda,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Jilla Sikshya Karyalaya,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Bajura Fm,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Dursanchar,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Khulla Manch,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Thapabata,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Palta,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Jiula,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Gadikhet,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Jilla Bikas Karyalaya,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Sundartole,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Shantitole,YES,Kathmandu,YES,,Third Party,300
Bajura,10600,Badimalika,Hat Bazar,YES,Kathmandu,YES,,Third Party,300
Banke,21900,Nepalgunj,Adarsh Nagar Area,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Bhanubhakta Chok,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Bhawanipur Area,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Bhujye Gaau,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,BP Chowk Area,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Bp Chowk Ganesh Man Chok,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Buspark,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Char Bahini Chok,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Chaulika Chokk,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Dhambojhi Chok,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Ganapur,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Ganeshpur,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Gharbahi Toal,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Jaisapur Area,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Jamuna Vansar Vrikutinagar,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Karkado Chok,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Manpur,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Phultangra,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Prasapur Area,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Puspalal Chowk,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Rajha Chowk,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Setubk Chok Newroad,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Traffic Chok,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Tribhuvan Chok,YES,Nepalgunj,Yes,1,,
Banke,21900,Nepalgunj,Udayapur Area,YES,Nepalgunj,Yes,1,,
Banke,21901,Narainapur,,NO,,,,,
Banke,21902,Baijanath,,NO,,,,,
Banke,21903,Rapti Sonari,,NO,,,,,
Banke,21904,Kohalpur,Baniya Var Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Bankatahawa Chowk  ,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Chandawa Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Chappargaudi Rainyekhola,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Chisapani,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Dasbigaha Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Dhakeri,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Gaau Chok,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Garahi Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Gaver,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Golchha,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Hawaldarpur,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Kausila Nagar Chk ,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Kirankhola,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Kohalpur Bazar,YES,Nepalgunj,,1,,
Banke,21904,Kohalpur,Krishi Chowk High School,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Madan Chowk ,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Maitahawa Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Manakamana Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Nccn Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Parwati Pur,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Pipalchautara,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Pipiri,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Ramnagar,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Rangila Chowk.,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Saal Ko Buta Chowk,YES,Nepalgunj,Yes,1,,
Banke,21904,Kohalpur,Samjhana Chowk,YES,Nepalgunj,Yes,1,,
Banke,21913,Khajura,Khajura Bazar,YES,Nepalgunj,,1,,
Bara,44400,Kalaiya,Adalat Road,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Baghwan,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Baijnathpur,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Barampuri Camp,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Barewahost,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Bharat Chowk,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Buspark Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,CDO Office Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Darbar Shiksha,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Devkota Chowk,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Dipraka,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Dohari Chhinimil,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Durga School Road,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Gupta Oil Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Hanuman Mandir Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Kalaiya Barewa Hospital Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Kalaiya Bazar,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Kalaiya Malpot Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Malpot Road,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Motisar,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Parsauni,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Pheta,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Rajaram Campus Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Rampur,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Shiksha Office Area,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Shishaniya,YES,Birgunj,Yes,1,,
Bara,44400,Kalaiya,Siddheshwor Mandir Area,YES,Birgunj,Yes,1,,
Bara,44401,Nijgadh,,YES,Birgunj,,2,,
Bara,44416,Jitpur Simara,Aauraha Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Airport Chowk,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Badarwa Chowk,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Bajani Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Bisbigaha Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Dabai Factory,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Das Bigaha Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Dumberwana Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Hotel Ichha Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Hulas Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Jagadamba Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Jitpur Simara Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Lalkapul\Ratopul,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Musarnimai Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Nepal Gas/Cable Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Nepal Telicom,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Ramban Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Rangasala Area,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Simara,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Simara Chowk,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Surya Nepal,YES,Birgunj,Yes,1,,
Bara,44416,Jitpur Simara,Tarai Yatayat Sangh,YES,Birgunj,Yes,1,,
Bardiya,21800,Gulariya,,YES,Nepalgunj,,2,,
Bardiya,21811,Rajapur,,NO,,,,,
Bhaktapur,44800,Bhaktapur,,YES,Kathmandu,Yes,1,,
Bhaktapur,44801,Changunarayan,,YES,Kathmandu,Yes,1,,
Bhaktapur,44802,Suryabinayak,Sallaghari,YES,Kathmandu,Yes,1,,
Bhaktapur,44811,Madhyapur Thimi,,YES,Kathmandu,Yes,1,,
Bhojpur,57000,Bhojpur,Barabot,YES,Dharan,Yes,2,,
Bhojpur,57000,Bhojpur,Bhandari Gaau,YES,Dharan,Yes,2,,
Bhojpur,57000,Bhojpur,Bhojpur Bazzar,YES,Dharan,Yes,2,,
Bhojpur,57000,Bhojpur,Char Bhyangang,YES,Dharan,Yes,2,,
